brandId,tagIds
101,"[80, 5, 2, 12, 6, 48, 17, 22, 42, 25, 9, 128, 30, 3, 26, 106, 20, 223, 24, 69]"
102,"[5, 2, 80, 12, 20, 6, 3, 48, 26, 17, 9, 7, 100, 24, 23, 34, 30, 38, 32, 126]"
103,"[63, 3, 36, 12, 6, 9]"
104,"[12, 9, 2, 5, 26, 43, 17, 25, 19, 223, 32, 3, 38, 98, 24, 34, 72, 42, 100, 95]"
106,"[3, 241]"
107,"[212, 2, 5, 12, 80, 17, 71, 32, 24, 20, 100, 40, 48, 7, 6, 30, 3, 26, 131, 67]"
108,"[26, 45, 71, 105, 128]"
109,"[2, 80, 12, 217, 6, 5, 27, 63, 24, 100, 17, 52, 72, 20, 109, 93, 7, 126, 90, 89]"
111,"[27, 98, 24, 38, 9, 7, 3, 12]"
113,"[139, 195, 171, 75, 5, 24, 105, 150, 34, 184, 2, 36]"
114,"[6, 2, 17, 5, 12, 20, 67, 24, 26, 7, 48, 23, 169, 38, 9, 45, 100, 97, 3, 80]"
116,"[43, 3, 5, 51, 23, 216, 7, 32, 100, 2, 204, 17, 30, 65, 36, 160, 149, 24, 50, 94]"
117,[118]
118,[33]
119,"[6, 5, 12, 2, 34, 3, 48, 17, 7, 67, 20, 23, 100, 9, 126, 21, 80, 32, 216, 38]"
120,"[12, 5, 2, 7, 6, 3, 24, 80, 72, 17, 26, 20, 100, 9, 48, 131, 169, 23, 30, 34]"
121,"[3, 80, 2, 5, 7, 6, 12, 17, 23, 100, 9, 24, 26, 20, 131, 48, 169, 126, 241, 45]"
122,[]
124,"[5, 6, 48, 94, 17, 3, 24, 7, 2, 145, 30, 40, 23, 100, 20, 12, 32, 184, 21, 52]"
125,[12]
128,"[3, 17, 7, 12, 94, 22, 65, 5, 242, 36, 195, 23, 25, 2, 6]"
129,[]
130,"[140, 98, 2, 5, 3]"
131,"[5, 23, 3, 7, 12, 25, 21, 36, 30, 2, 9, 17, 32, 235, 26, 131, 100, 65, 38, 126]"
132,[]
135,"[6, 12, 7, 26, 5, 17, 3, 2, 145, 9, 80, 38, 169, 20, 23, 25, 126, 32, 100, 34]"
137,"[7, 5, 6, 3, 216, 23, 100, 12, 20, 131, 26, 9, 2, 30, 195, 24, 80, 17, 32, 48]"
138,"[97, 187, 109]"
139,"[23, 192, 26, 151, 172, 6]"
140,"[5, 24, 3, 7, 2, 12, 23, 17, 30, 9, 126, 20, 167, 131, 65, 113, 6, 169, 40, 94]"
141,"[195, 3, 2, 51, 5]"
142,"[209, 199]"
143,[]
144,"[6, 12, 5, 169, 26, 2, 20, 42, 24, 17, 38, 80, 48, 77, 67, 7, 23, 100, 95, 93]"
145,"[6, 12, 5, 42, 25, 93, 23, 2, 139, 7, 26, 38, 48, 95, 63, 32, 17, 241, 40, 20]"
146,"[100, 7, 3]"
147,[216]
148,"[5, 24, 216, 7, 6, 12, 3, 17, 26, 40, 131, 169, 27, 23, 9, 30, 2, 32, 20, 25]"
149,"[5, 2, 23, 6, 12, 17, 7, 3, 100, 20, 93, 9, 80, 72, 165, 48, 24, 22, 45, 38]"
150,"[77, 5]"
151,[]
152,"[19, 100, 7, 2]"
153,"[131, 30, 3]"
154,"[126, 22, 23, 36, 2]"
155,"[12, 5, 2, 6, 17, 3, 26, 9, 23, 7, 34, 24, 80, 45, 20, 100, 241, 169, 19, 48]"
156,"[12, 6, 5, 67, 150, 26, 17, 147, 2, 3, 169, 24, 23, 9, 42, 38, 20, 7, 34, 97]"
157,[]
158,"[6, 3, 5, 12, 27, 7, 26, 36, 9, 34, 2, 113, 23, 169, 100, 40, 17, 25, 65, 48]"
159,"[12, 3, 7, 5, 65, 48, 6, 100, 95, 23, 56, 80, 2, 237, 25, 36, 169, 17, 238, 94]"
161,"[80, 217, 27, 72, 165, 33, 109, 63]"
162,"[3, 7, 5, 6, 2, 174, 17, 113, 241, 12, 48, 131, 38, 100, 23, 9, 242, 152, 36, 19]"
163,"[2, 5, 3, 12, 17, 9, 23, 6, 7, 34, 26, 100, 30, 38, 48, 72, 98, 21, 131, 52]"
164,"[172, 2, 24, 17, 12, 151, 217]"
165,"[152, 192, 27]"
166,[224]
167,[19]
168,"[6, 5, 12, 17, 216, 34, 26, 7, 80, 100, 2, 65, 9, 3, 71, 131, 27, 20, 63, 78]"
170,[]
171,"[26, 48, 6, 7, 100, 126, 24, 5, 3, 17, 12, 23, 145, 21, 2, 9, 75, 94, 30, 148]"
173,"[32, 6, 3, 26, 5, 12, 128, 7, 145, 36, 34, 65, 20, 71, 25, 131, 2, 30, 48, 229]"
174,"[43, 5, 36, 2, 19, 65, 9, 3, 223, 7, 25, 51, 34, 38, 12, 77, 56, 23, 88, 20]"
175,"[171, 169, 22, 34, 6, 7, 12]"
177,"[196, 88, 73, 22, 38, 20, 25, 3, 2, 7]"
178,"[187, 95]"
179,"[223, 80, 67, 72, 32, 21, 2, 5]"
182,"[178, 36]"
183,"[45, 42, 6, 67, 12, 147, 2, 24, 5, 80, 20, 17, 26, 48, 7, 9, 32, 90, 50, 34]"
185,"[2, 5, 17, 94, 20, 12, 109, 48, 6, 100, 126, 26, 89, 9, 52, 7, 67, 24, 42, 32]"
186,"[24, 7, 12]"
187,"[48, 123, 5, 42, 100, 2, 26, 6, 163, 52, 86, 213, 7, 12, 113, 84, 44, 184, 126, 40]"
188,"[5, 12, 42, 20, 7, 6, 100, 48, 2, 23, 22, 3, 17, 24, 30, 32, 9, 77, 25, 126]"
189,"[121, 80, 242, 20, 36, 100, 17, 7, 3, 12]"
190,[235]
191,"[27, 6, 12, 100, 9, 26, 17, 7, 3, 2, 5, 126, 72, 20, 78, 38, 80, 32, 140, 131]"
194,"[3, 5, 7, 25, 12, 2, 48, 22, 9, 21, 20, 38, 131, 36, 126, 140, 100, 83, 50, 17]"
195,"[171, 131, 26, 23, 20, 7]"
199,[22]
201,"[3, 7, 5, 40, 23, 17]"
202,"[5, 20, 17, 6, 24, 12, 2, 7, 77, 23, 169, 3, 42, 26, 9, 131, 30, 38, 184, 69]"
203,[]
204,"[21, 25, 40, 17, 2, 5, 12, 7, 3]"
205,[]
206,"[25, 17, 2, 12]"
207,[187]
208,"[145, 2, 5, 217, 67, 100, 12, 17, 6, 121, 71, 48, 16, 32, 9, 24, 26, 126, 34, 38]"
209,"[5, 2, 32, 12, 48, 40, 100, 3, 17, 126, 23, 30, 9, 7, 80, 22, 147, 72, 131, 36]"
210,"[5, 2, 43, 12, 7, 36, 48, 17, 65, 20, 42, 32, 100, 3, 25, 26, 24, 6, 22, 9]"
211,[29]
212,"[80, 5, 12, 32, 2, 19, 48, 131, 7, 3, 34, 228, 42, 23, 36, 9, 21, 26, 40, 20]"
213,"[36, 12, 3, 6, 7, 100, 5, 204, 65, 2, 80, 9, 169, 30, 113, 27, 43, 26, 38, 126]"
214,"[27, 169, 149, 5, 65, 113, 12, 56, 36, 100, 32, 7, 105]"
215,"[36, 148, 100, 113, 19, 26, 17, 12, 7, 3]"
217,[]
218,"[21, 72, 242, 22, 6, 3, 5, 7]"
219,"[80, 2, 5, 12, 42, 17, 6, 100, 20, 121, 48, 93, 241, 72, 126, 69, 148, 7, 23, 225]"
220,[]
221,"[5, 6, 3, 20, 26, 42, 69, 12, 7, 2, 75, 72, 100, 113, 128, 45, 17, 9, 169, 40]"
222,"[80, 42, 5, 6, 2, 17, 12, 69, 67, 3, 20, 241, 48, 225, 228, 7, 26, 23, 100, 9]"
223,"[80, 67, 17, 5, 121, 2, 12, 48, 20, 188, 126, 22, 42, 9, 146, 225, 72, 7, 131, 63]"
224,"[84, 44, 240, 12, 152, 5, 109, 174, 16, 17, 3, 197, 105, 45, 2, 32, 121, 93, 38]"
225,"[152, 139, 128, 145, 71, 242, 21, 175]"
226,[]
227,"[204, 145, 170]"
228,"[42, 69, 3, 93, 6, 7, 2, 126, 5, 12, 24, 48, 17, 40, 23, 169, 30, 100, 131, 52]"
229,"[48, 5, 93, 6, 12, 80, 100, 45, 169, 17, 67, 42, 2, 188, 22, 73, 75, 126, 30, 89]"
230,"[80, 217, 6, 100, 5, 20, 12, 2, 42, 48, 126, 143, 32, 67, 17, 172, 9, 30, 7, 93]"
231,[106]
232,"[71, 213, 69, 12, 145, 2, 6, 26, 97, 5, 147, 3, 42, 17, 45, 100, 7, 38, 20, 23]"
233,"[2, 6, 80, 5, 24, 17, 48, 12, 240, 20, 154, 23, 3, 241, 100, 237, 7, 213, 69, 9]"
234,"[3, 182]"
235,"[86, 95, 72, 24, 34, 17, 2]"
236,[63]
238,"[80, 100, 48, 20, 25, 34, 2, 5, 7, 12]"
239,[]
240,"[188, 67, 5]"
241,[71]
242,"[202, 42, 38, 25, 40, 2, 73, 30, 131]"
245,"[169, 20, 2]"
246,"[52, 50]"
247,[]
248,"[159, 44]"
249,"[69, 67, 5, 93, 6, 17, 2, 23, 12, 42, 97, 80, 9, 3, 48, 7, 34, 90, 121, 38]"
250,"[145, 5, 3, 40, 126, 30, 2, 26, 69, 12, 9, 71, 25, 6, 178, 7, 36, 17, 23, 38]"
251,"[205, 2, 5, 26, 80, 6, 72, 69, 209, 100, 174, 27, 63, 34, 23, 48, 146, 29, 12, 173]"
252,"[98, 48, 3, 6, 23, 36, 100, 7, 17]"
253,"[5, 2, 3, 17, 12, 80, 7, 100, 126, 48, 6, 23, 9, 30, 24, 38, 40, 21, 20, 22]"
254,"[3, 5, 152, 7, 12, 25, 34, 100, 9, 2, 30, 17, 26, 23, 65, 226, 126, 61, 32, 24]"
255,"[26, 48, 5, 17, 2, 6, 7, 97, 24, 12, 3, 209, 100, 9, 126, 63, 199, 119, 22, 145]"
256,"[72, 80, 2, 42, 205, 17, 3, 239, 154]"
257,"[67, 69, 2, 80, 42, 6, 5, 48, 17, 12, 45, 109, 52, 89, 100, 147, 97, 23, 20, 3]"
258,"[213, 6, 93, 26, 12, 5, 97, 27, 2, 119, 17, 42, 48, 67, 89, 147, 20, 24, 169, 38]"
259,"[2, 5, 42, 182, 3, 69, 43, 7, 36, 12, 65, 209, 6, 100, 9, 17, 51, 84, 90, 38]"
261,"[100, 34, 5, 9, 12, 2, 7, 3]"
262,[]
263,[25]
264,"[202, 138, 38, 25, 100, 6, 5, 7, 3]"
265,"[12, 207, 43, 52, 38, 235]"
266,"[3, 175, 100, 7, 17, 6, 2, 48, 5, 23, 12, 93, 217]"
267,"[43, 36, 2, 5, 42, 51, 75, 9, 65, 174, 23, 88, 159, 48, 100, 72, 126, 98, 34, 195]"
268,"[2, 72, 67, 36, 90, 3, 119, 5, 159, 12, 100, 32, 27, 30, 44, 17, 25, 224, 154]"
269,"[143, 184, 171, 67, 26, 48, 34, 6]"
270,"[3, 12, 75, 80, 24, 7, 5, 97, 242, 89, 48, 126, 45, 21, 77, 20, 25, 6, 2, 145]"
271,[3]
272,"[6, 80, 12, 97, 3, 7, 2, 202, 5, 24, 100, 27, 217, 17, 48, 26, 20, 169, 40, 9]"
273,"[3, 7, 5, 6, 12, 23, 17, 100, 2, 24, 40, 21, 9, 20, 25, 26, 93, 242, 206, 36]"
275,[172]
276,"[80, 2, 23, 5, 69, 12, 42, 6, 9, 67, 223, 17, 48, 182, 61, 34, 63, 7, 3, 100]"
277,[20]
279,"[128, 25, 9, 12]"
280,"[3, 19, 65, 36, 100, 7, 2]"
281,"[202, 72, 229, 42, 69, 52, 48]"
282,"[160, 19, 22, 21, 38, 17, 7, 2, 5]"
283,[]
284,[]
285,[235]
286,"[5, 32, 45, 2, 22, 182, 80, 12, 105, 110, 17, 71]"
287,"[213, 42, 97, 6, 12, 2, 67, 45, 119, 63, 26, 27, 5, 24, 17, 48, 100, 38, 150, 80]"
288,"[27, 159, 128, 17, 5, 3, 75, 34, 172, 63]"
289,[151]
290,"[43, 5, 36, 80, 3, 51, 65, 34, 206, 9, 12, 2, 88, 19, 23, 25, 139, 17, 48, 137]"
291,"[43, 5, 151, 36, 34, 139, 17, 77, 150, 3, 25, 199, 154]"
293,[]
294,"[239, 128, 69, 84, 44, 45]"
295,"[217, 204, 151]"
296,[209]
299,"[3, 145, 34, 229, 7, 100, 88, 36, 5]"
300,[]
301,[109]
303,"[3, 7, 22, 188, 146, 118, 100, 5]"
304,[]
305,"[2, 72, 80, 137, 12, 5, 19, 159, 63, 43, 187, 65, 21, 174, 48, 52, 36, 195, 17, 9]"
306,[]
307,"[128, 195, 3, 138]"
308,"[2, 5, 17, 80, 12, 3, 19, 48, 154, 69, 9, 65, 20, 7, 106, 100, 34, 44, 61, 173]"
309,"[5, 2, 48, 6, 3, 7, 42, 17, 100, 241, 80, 12, 23, 9, 52, 24, 20, 126, 22, 171]"
310,"[2, 159, 5, 34, 72, 43, 139, 36, 186, 63, 27, 9, 17, 12, 80, 19, 48, 25, 145, 137]"
311,"[12, 2, 5, 6, 3, 22, 7, 110, 20, 80, 69, 26, 19, 100, 42, 36, 21, 23, 17, 65]"
312,"[80, 5, 17, 2, 6, 12, 48, 9, 3, 23, 100, 34, 26, 20, 67, 42, 7, 225, 241, 24]"
313,[]
314,"[240, 9, 3, 19, 36, 65, 5, 56, 51, 95, 113, 73, 44, 98, 235, 170, 126, 40, 224]"
316,[]
317,"[2, 12, 100, 6, 5, 48, 7, 27, 72, 45, 3, 126, 34, 26, 94, 119, 9, 63, 22, 195]"
318,"[145, 196, 83, 169, 242, 26, 9, 3, 2]"
320,"[3, 5, 100, 7, 6, 2, 48, 9, 12, 36, 20, 65, 21, 26, 43, 23, 25, 17, 34, 242]"
321,"[137, 63]"
322,"[71, 80, 147, 26, 5, 204, 6, 97, 105, 12, 27, 169, 24, 2, 197, 42, 73, 7, 23, 45]"
323,"[5, 2, 3, 48, 80, 17, 9, 100, 12, 7, 23, 21, 34, 36, 32, 72, 6, 30, 42, 242]"
324,"[5, 3, 17, 80, 48, 23, 12, 20, 7, 2, 9, 6, 38, 131, 146, 24, 100, 65, 126, 171]"
325,[139]
326,"[5, 3, 2, 36, 80, 48, 159, 98, 50, 16, 34, 65, 17, 43, 6, 9, 143, 12, 84, 21]"
327,"[43, 51, 5, 118, 151, 3, 36, 2, 7, 172, 207, 65, 34, 9, 25, 88, 6, 152, 100, 23]"
328,"[27, 70]"
329,"[29, 3, 16, 235]"
330,"[206, 3]"
331,"[160, 36, 43, 21, 25, 12, 2]"
332,"[69, 65, 98, 5, 7, 12]"
333,"[30, 24, 12]"
334,"[12, 7, 5, 25, 36, 23, 20, 6, 27, 138, 235, 2, 48]"
335,"[3, 7, 5, 12, 6, 9, 23, 25, 65, 26, 24, 30, 27, 17, 100, 36, 2, 95, 20, 148]"
336,[]
337,"[26, 12, 7, 119, 3, 94, 6, 100, 25, 126, 5, 160, 145, 17, 2, 36, 24, 34, 65, 80]"
338,"[241, 40, 22, 2, 7, 12]"
339,[24]
340,"[3, 94, 7, 5, 36, 216, 138, 12, 17]"
341,"[121, 94, 33, 25, 150]"
342,"[80, 169, 226, 5, 38, 3, 126, 2, 33, 32, 12, 100, 147, 6, 17, 143, 23, 25, 95, 97]"
343,[]
344,"[5, 3, 2, 12, 9, 7, 77, 25, 19, 20, 34, 17, 23, 6, 100, 30, 36, 22, 24, 38]"
345,"[3, 7, 5, 43, 242, 36, 154, 65, 9, 25, 12, 23, 17, 2, 90, 51, 24, 56, 32, 16]"
347,"[3, 7, 5, 36, 12, 94, 23, 48, 65, 40, 9, 110, 242, 77, 25, 21, 61, 22, 195, 209]"
348,[84]
349,[]
350,[3]
351,[]
353,"[186, 69, 95, 24, 9, 25, 12, 7]"
354,[43]
355,"[224, 154]"
356,"[50, 217]"
357,"[104, 71, 88, 36, 7]"
358,"[72, 2, 7]"
359,"[213, 3, 71, 6, 5, 12, 7, 24, 128, 45, 30, 48, 36, 25, 94, 100, 23, 32, 2, 9]"
360,[]
361,"[3, 7, 5, 100, 65, 242, 32, 43, 160, 25, 12, 22, 172, 23, 94, 19, 95]"
363,"[6, 48, 80, 7, 2, 17, 12, 5, 9, 100, 3, 241, 45, 223, 147, 202, 25, 94, 93, 226]"
364,[61]
365,"[43, 6, 3, 24, 21, 38, 36, 12, 2]"
366,"[50, 65, 7, 12]"
367,"[94, 6, 7, 3]"
368,[239]
369,[]
370,[24]
371,"[5, 175, 3, 7, 19, 2, 48, 43, 12, 36, 100, 38, 25, 65, 30, 16, 23, 217, 182]"
372,"[145, 6, 3, 26, 27, 7, 12, 43, 25, 65, 5, 113, 36, 21, 22, 50, 17, 186, 160, 38]"
374,"[12, 36, 5, 195, 90, 32, 40, 186, 71, 3, 7, 216, 197, 65, 77, 51, 178, 56, 24, 6]"
375,[]
376,"[51, 5]"
377,"[6, 26, 12, 5, 27, 7, 36, 182, 148, 38, 2, 3, 147, 23, 24, 169, 137, 98, 20, 40]"
378,"[6, 12, 241, 5, 2, 119, 80, 38, 9, 20, 150, 26, 45, 25, 63, 217]"
379,"[12, 17, 5, 25, 7, 3, 118, 109, 36, 56, 34, 167, 65, 63, 30, 89, 2, 32, 100, 38]"
380,"[3, 77, 7, 5, 12, 25, 17, 9, 43, 24, 23, 20, 80, 36, 6, 2, 169, 94, 100, 217]"
382,[224]
383,[100]
384,"[3, 7, 5, 23, 21, 195, 77, 36, 12, 65, 169, 94, 9, 131, 6, 126, 24, 40, 43, 148]"
385,"[160, 26, 5, 7, 12, 2]"
387,"[3, 5, 36, 51, 26, 148, 75, 7, 235, 209, 25, 199]"
389,"[3, 5, 69, 123, 165, 145, 22, 17, 75, 95, 7, 24, 184, 48, 23, 38, 36, 77, 9, 187]"
391,"[16, 63, 146, 43, 17, 22, 36, 2, 3]"
392,[]
393,"[19, 5, 6, 12, 33, 93, 88, 7, 169, 25, 26, 52, 239, 123, 199]"
395,"[83, 22]"
397,"[199, 196, 235, 170, 48, 95]"
398,"[9, 2]"
399,"[3, 48, 5, 12, 23, 7, 6, 67, 159, 20, 36, 2, 45, 69, 73, 242, 225, 17, 88, 34]"
401,"[97, 12, 5, 2, 6, 36, 75, 32, 17, 9, 19, 192, 117, 145, 80, 7, 22, 100, 113, 48]"
402,[]
403,"[5, 3, 6, 12, 147, 2, 26, 17, 80, 67, 23, 100, 7, 20, 48, 19, 34, 38, 9, 45]"
404,"[97, 170, 146, 238, 3, 16]"
405,"[106, 197]"
406,"[71, 26, 12, 5, 6, 36, 25, 27, 3, 9, 22, 7, 169, 23, 40, 20, 2, 86, 213, 77]"
407,"[212, 97, 26, 3, 17, 12, 175, 5, 7, 6, 241, 24, 23, 25]"
408,[]
409,"[3, 5, 48, 17, 9, 12, 34, 150, 26, 98]"
410,"[3, 5, 7, 71, 48, 75, 12, 6, 23, 42, 36, 9, 77, 17, 100, 43, 169, 95, 24, 26]"
411,"[21, 113, 25, 34, 12, 3, 7]"
412,[]
413,"[169, 22]"
414,[]
415,[]
416,"[23, 5, 12, 25, 30, 32]"
419,"[27, 2, 12, 6, 5, 7, 80, 100, 63, 9, 126, 3, 17, 119, 26, 137, 89, 65, 21, 169]"
421,"[3, 5, 29, 242, 17, 77, 154, 23, 7, 48, 80, 36, 121, 100, 235, 24, 217]"
422,[]
423,"[17, 126, 24, 65, 7, 21, 5, 2]"
424,"[235, 65, 137, 151, 38, 3, 5]"
425,"[3, 5, 6, 7, 2, 12, 23, 9, 242, 22, 38, 26, 100, 34, 36, 69, 80, 188, 32, 154]"
426,"[33, 5, 17, 7, 75, 3, 24, 88, 12, 25, 173, 48, 30, 65, 43, 19, 32, 36, 77, 22]"
427,"[5, 9, 6, 151, 3, 7, 2, 24, 52, 12, 40, 50, 126, 20, 205, 27, 86, 242, 89, 100]"
428,"[5, 212, 27, 146, 145]"
429,[]
430,[]
431,"[3, 7, 77, 5, 6, 12, 26, 23, 36, 2, 24, 169, 25, 100, 9, 17, 20, 34, 65, 38]"
432,"[36, 7, 3, 5, 12, 100, 2, 73, 21, 17, 9, 97, 63, 72, 202, 113, 56, 43, 30, 38]"
433,"[160, 7]"
434,[145]
435,"[19, 22, 5, 7, 12]"
436,"[12, 5, 7, 3, 2, 24, 75, 6, 192, 145, 23, 80, 100, 42, 67, 17, 137, 52, 9, 242]"
437,"[34, 5, 48, 19, 12, 3, 9, 98, 36, 43, 23, 65, 7, 6, 77, 80, 100, 195, 26, 2]"
438,"[36, 5, 51, 75, 56, 43, 40, 22, 77, 184, 30, 3, 65, 73, 151, 23, 25, 17, 195, 32]"
439,"[169, 242, 30, 25, 2, 17, 5, 7, 3]"
440,"[56, 126, 6, 2, 7, 3]"
441,[]
442,"[3, 7, 5, 25, 242, 48, 23, 65, 36, 12, 100, 24, 43, 22, 40, 34, 21, 32, 75, 17]"
443,"[29, 169, 90]"
444,"[7, 5, 22, 3, 123, 235, 33, 12, 94, 30, 188, 100, 48, 19, 24, 160, 2, 6, 32, 126]"
445,[166]
446,"[3, 7, 5, 139, 12, 2, 56, 6, 27, 25, 23, 95, 21, 9, 83, 94, 17, 50, 113, 126]"
447,[]
448,[]
449,"[118, 128, 7, 98, 21, 48, 3, 23, 5]"
450,[43]
451,"[206, 93, 90, 80, 30, 38, 20, 36, 3]"
452,[240]
453,"[52, 48, 128, 5, 2, 32, 184, 12, 17, 230, 22, 24, 6, 45, 50, 3]"
454,"[6, 5, 48, 2, 12, 26, 67, 80, 17, 100, 7, 20, 32, 24, 38, 109, 126, 42, 169, 52]"
